ID,IC,FII,body_part,dry_weight
195,0.25,27,dryrest,4.8
195,0.25,27,drytotal,9.85
196,0.25,23,drythor,5.82
196,0.25,23,DRYREST,5.71
196,0.25,23,drytotal,11.53
197,0.25,64,drythor,5.36
197,0.25,64,dryrest,4.68
197,0.25,64,drytotal,10.04
198,0.25,73,drythor,5.67
198,0.25,NA,dryrest,4.32
198,0.25,73,drytotal,9.99
199,0.25,26,drythor,5.15
199,0.25,26,dryrest,4.78
199,0.25,26,drytotal,9.93
200,0.25,37,drythor,4.89
200,0.25,37,dryrest,4.54
200,0.25,37,drytotal,9.43
201,0.25,35,drythor,5.73
201,0.25,35,dryrest,5.36
NA,0.25,35,drytotal,11.09
202,0.25,25,drythor,5.84
202,0.25,25,dryrest,4.85
202,0.25,25,drytotal,10.69
203,0,45,drythor,6.25
203,NA,45,dryrest,6.71
203,0,45,drytotal,12.96
204,0,61,drythor,5.86
204,0,61,dryrest,7.81
204,0,61,drytotal,13.67
205,0,50,drythor,5.83
205,0,50,dryrest,5.98
205,0,50,drytotal,11.81
NA,0,31,drythor,4.31
206,0,31,dryrest,4.95
206,0,31,drytotal,9.26
207,0,24,drythor,6.03
207,0,24,dryrest,5.6
207,0,24,drytotal,11.63
208,0,45,drythor,5.43
208,0,45,dryrest,5.95
208,0,45,drytotal,11.38
209,0,46,drythor,5.56
209,0,46,dryrest,5.97
209,0,46,drytotal,11.53
210,0,41,drythor,5.95
210,0,41,dryrest,6.63
210,NA,41,drytotal,12.58
211,0,NA,drythor,NA
211,0,64,dryrest,4.79
211,0,64,drytotal,10.02
212,0,30,NA,5.6
212,0,30,dryrest,5.5
212,0,30,drytotal,11.1
213,NA,62,drythor,5.31
213,0,62,dryrest,4.86
213,NA,62,drytotal,10.17
214,0,54,drythor,5.02
214,0,54,dryrest,4.38
214,0,54,drytotal,9.4
215,0,50,drythor,4.91
215,0,NA,dryrest,6.11
215,0,50,drytotal,11.02
216,0,34,drythor,5.71
216,0,34,dryrest,5.99
NA,0,34,drytotal,11.7
217,0,50,drythor,5.64
217,0,50,dryrest,7.66
217,0,50,drytotal,13.3
218,0,29,drythor,5.43
218,NA,29,dryrest,5.89
NA,0,29,drytotal,11.32
219,0,49,drythor,5.71
219,0,49,dryrest,4.72
219,0,49,drytotal,10.43
220,0,52,drythor,4.71
220,0,52,dryrest,5.02
220,0,52,drytotal,9.73
221,0.375,33,drythor,4.86
221,0.375,33,dryrest,4.5
221,0.375,33,drytotal,9.36
222,0.375,46,drythor,4.19
222,0.375,46,dryrest,3.97
222,0.375,46,drytotal,8.16
223,0.375,34,drythor,4.24
223,0.375,NA,dryrest,3.79
223,NA,34,drytotal,8.030000000000001
224,0.375,26,drythor,5.27
224,0.375,26,dryrest,5.03
224,0.375,26,NA,10.3
225,0.375,53,drythor,5.35
225,0.375,53,dryrest,NA
225,0.375,53,drytotal,11.43
227,0.375,44,drythor,4.78
227,0.375,44,dryrest,5.61
227,0.375,44,drytotal,10.39
228,0.375,29,drythor,4.62
228,NA,29,dryrest,5.14
NA,NA,29,drytotal,9.76
229,0.375,28,drythor,5.19
229,0.375,28,dryrest,4.26
229,0.375,NA,drytotal,9.45
230,0.375,47,drythor,5.17
NA,0.375,47,dryrest,5.18
230,0.375,47,drytotal,10.35
231,0.375,74,NA,NA
231,0.375,74,dryrest,6.62
231,0.375,74,drytotal,11.61
232,0.375,66,drythor,5.24
232,0.375,66,dryrest,5.7
232,0.375,66,DRYTOTAL,10.94
233,0.375,77,drythor,5.88
233,0.375,77,NA,5.04
233,0.375,77,drytotal,10.92
235,0.375,40,drythor,5.07
235,0.375,40,dryrest,7.94
235,0.375,40,drytotal,13.010000000000002
236,0.375,29,drythor,4.26
236,0.375,29,dryrest,7.77
236,0.375,29,drytotal,12.03
237,0.375,30,drythor,5.06
237,0.375,30,dryrest,9
237,0.375,30,drytotal,14.06
238,0.375,44,drythor,5
238,0.375,44,dryrest,7.27
238,0.375,44,drytotal,12.27
239,0.375,29,drythor,5.81
239,0.375,29,dryrest,8.78
239,0.375,29,drytotal,14.59
240,NA,48,drythor,5.74
240,0.375,48,dryrest,8.11
240,0.375,48,drytotal,13.85
241,NA,57,drythor,5.95
241,0.375,57,dryrest,11.41
241,0.375,57,drytotal,17.36
242,0.375,65,drythor,5.08
242,0.375,65,dryrest,9.75
242,0.375,65,drytotal,14.83
243,0.375,62,drythor,3.21
243,0.375,62,DRYREST,2.89
243,0.375,62,drytotal,6.1
244,0.375,57,drythor,3.52
244,0.375,57,dryrest,6.53
244,0.375,57,NA,10.05
